Council Member,CD ID
Bob Blumenfield,3
Curren D. Price Jr.,9
David Ryu,4
Felipe Fuentes,7
Gilbert Cedillo,1
Herb J. Wesson Jr.,10
Joe Buscaino,15
Jose Huizar,14
Marqueece Harris-Dawson,8
Mike Bonin,11
Mitch O'Farrell,13
Mitchell Englander,12
Nury Martinez,6
Paul Koretz,5
Paul Krekorian,2
