Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
5/28/2016 12:00,160211412,5/27/2016 12:00,1230,2,Rampart,237,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,1207    MIRAMAR                      ST,,"(34.0572, -118.2576)"
7/20/2016 12:00,160616413,7/19/2016 12:00,1815,6,Hollywood,666,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),IC,Invest Cont,1400 N  IVAR                         AV,,"(34.0962, -118.3288)"
2/19/2016 12:00,161207485,2/1/2016 12:00,800,12,77th Street,1249,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont,6521    BONSALLO                     AV,,"(33.9806, -118.2859)"
8/4/2016 12:00,161114374,8/4/2016 12:00,2145,11,Northeast,1137,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,AA,Adult Arrest,5233    MONTE VISTA                  ST,,"(34.1085, -118.2011)"
3/24/2016 12:00,161107964,3/19/2016 12:00,2200,11,Northeast,1115,510,VEHICLE - STOLEN,AO,Adult Other,BARNSDALL,VERMONT,"(34.0991, -118.2918)"
12/2/2016 12:00,160921139,12/1/2016 12:00,1900,9,Van Nuys,964,330,BURGLARY FROM VEHICLE,IC,Invest Cont,14006    RIVERSIDE                    DR,,"(34.1576, -118.438)"
2/1/2016 12:00,160305988,1/29/2016 12:00,1700,3,Southwest,351,310,BURGLARY,IC,Invest Cont,3537    FARMDALE                     AV,,"(34.0239, -118.346)"
1/28/2016 12:00,162005300,1/27/2016 12:00,2030,20,Olympic,2017,330,BURGLARY FROM VEHICLE,IC,Invest Cont,104 S  CATALINA                     ST,,"(34.0727, -118.2954)"
4/11/2016 12:00,161108768,4/11/2016 12:00,10,11,Northeast,1141,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,4804    FRANKLIN                     AV,,"(34.1054, -118.2943)"
10/14/2016 12:00,160621714,10/13/2016 12:00,2130,6,Hollywood,632,354,THEFT OF IDENTITY,IC,Invest Cont,8033 W  SUNSET                       BL,,"(34.098, -118.3645)"
8/31/2016 12:00,161517478,8/31/2016 12:00,200,15,N Hollywood,1588,888,TRESPASSING,IC,Invest Cont,3227    VELMA                        DR,,"(34.134, -118.3441)"
7/13/2016 12:00,160812955,7/13/2016 12:00,1450,8,West LA,849,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,LA CIENEGA,OLYMPIC,"(34.0595, -118.3762)"
1/13/2016 12:00,160204631,1/13/2016 12:00,945,2,Rampart,271,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,2121 W  11TH                         ST,,"(34.0503, -118.2808)"
6/9/2016 12:00,162011855,6/9/2016 12:00,1015,20,Olympic,2056,624,BATTERY - SIMPLE ASSAULT,AO,Adult Other,1042    DEWEY                        AV,,"(34.0527, -118.2958)"
2/3/2016 12:00,161005351,1/29/2016 12:00,1901,10,West Valley,1079,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),IC,Invest Cont,15945    VENTURA                      BL,,"(34.1558, -118.4793)"
